Cond,FamIDNO,FamMem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,Sex,Age1,Ht1,Wt1
1,1,1,7,5,5,6,4,4,,,,,,,,,1,42,67.25,1.78
1,1,2,24,18,12,10,13,,,,,,,,,,0,43,68.5,2.07
1,1,3,4,4,4,3,3,6,,,,,,,,,1,12,64.5,1.56
1,1,4,17,13,15,11,14,15,,,,,,,,,1,14,66.25,1.72
1,1,5,12,8,7,4,7,9,,,,,,,,,1,10,57,0.81
1,2,1,12,11,7,6,12,6,10,8,3,5,7,3,10,6,1,50,60,1.53
1,2,2,10,10,16,14,14,10,17,14,13,14,15,8,12,11,0,41,68,2.21
1,2,3,13,17,21,9,12,5,7,6,7,7,21,8,9,7,0,11,57.5,1.12
1,2,4,11,10,6,6,3,1,2,1,2,2,1,1,0,1,1,10,50.5,0.55
1,4,1,8,8,5,8,8,7,7,7,7,6,7,9,7,7,1,46,68,2.15
1,4,3,2,7,4,3,6,6,5,6,7,8,6,7,7,7,1,10,57,1.04
1,5,1,0,4,1,7,1,3,,4,5,7,6,3,0,7,1,41,60,1.295
1,5,2,0,9,11,13,7,11,2,,,,,,,,0,42,69.75,2.7
1,5,3,0,9,12,12,3,,4,5,5,7,6,3,6,6,0,8,52.5,1.01
1,6,1,5,7,11,9,9,9,8,11,12,14,10,11,11,8,1,37,65,2.15
1,6,3,8,4,10,11,11,11,11,11,11,12,6,11,8,6,1,11,65.25,2.0775
1,6,5,7,4,10,11,11,10,14,12,14,11,14,14,10,12,0,10,57.25,0.84
1,6,6,8,4,9,10,10,9,12,11,14,14,9,8,10,10,1,16,64.5,2.07
1,7,1,6,9,3,,,,,,,,,,,,1,49,66,1.775
1,7,2,9,8,0,,,,,,,,,,,,0,55,66,1.455
1,7,3,4,7,3,,,,,,,,,,,,0,9,58.25,1.015
1,8,1,7,11,12,8,7,9,9,7,10,9,10,6,10,8,1,45,61.5,1.06
1,8,2,10,14,12,11,8,8,11,14,10,11,7,12,12,10,0,47,70.5,1.92
1,8,3,4,8,2,2,1,1,3,1,0,1,0,0,0,1,0,12,61,1.42
1,8,4,1,2,0,0,0,0,0,,,,,,,,0,17,70.5,2.1
1,8,5,5,5,6,4,6,3,5,0,2,3,1,3,5,3,1,15,64.25,1.52
1,10,1,12,12,14,11,13,13,12,10,11,9,13,14,14,13,1,44,62,1.69
1,10,3,11,14,10,9,14,14,10,11,14,12,7,11,13,10,0,12,60,1.5
1,11,1,7,9,8,6,4,2,6,4,2,1,2,4,4,4,1,42,67.5,1.36
1,11,2,11,14,12,11,11,3,10,4,6,4,4,7,8,3,0,43,68.5,1.9
1,11,3,12,6,9,13,6,11,10,8,9,7,1,6,6,6,1,11,60.25,1.29
1,11,4,5,2,6,0,0,0,0,2,0,0,4,1,5,0,0,11,56.75,0.79
1,11,5,3,0,,,,,,,,,,,,,1,13,65,1.06
1,13,1,2,3,5,5,5,5,5,6,6,3,5,5,5,5,1,42,68.25,1.28
1,13,3,4,6,9,11,11,12,8,6,12,7,8,5,6,9,1,12,61.25,1.19
1,14,1,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,43,62.75,2.76
1,14,2,0,4,1,6,2,5,3,0,0,0,5,5,6,4,0,36,65.25,2.19
1,14,3,3,8,4,5,5,4,3,0,0,0,6,4,4,2,0,12,56.75,1.04
1,16,1,4,9,11,9,11,11,,,,,,,,,1,45,68,1.81
1,16,3,11,8,26,6,17,12,,,,,,,,,0,10,60.5,1.12
1,16,4,15,11,29,17,24,18,,,,,,,,,0,14,74.25,1.42
1,16,5,8,7,7,4,4,6,,,,,,,,,1,10,58,0.85
1,17,1,14,14,14,0,2,0,0,0,2,3,0,0,0,0,1,41,64,1.925
1,17,3,14,14,9,5,11,9,4,7,5,5,0,5,3,0,1,10,58,1.305
1,18,1,3,11,4,4,7,6,7,9,6,12,5,8,8,11,1,38,63.25,1.52
1,18,2,12,8,9,9,11,7,8,5,6,8,8,6,5,4,0,44,71.5,2.04
1,18,3,12,14,14,12,14,14,14,4,11,14,14,12,11,5,0,12,59,1.085
1,18,4,2,6,7,9,7,10,10,7,9,8,8,8,9,7,1,15,62,1.14
1,18,5,2,9,4,5,4,0,5,6,4,0,4,10,8,10,1,17,64.25,1.29
1,19,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,39,67,1.54
1,19,3,16,1,0,9,,,,,,,,,,,0,12,60.25,1.225
1,19,4,6,3,2,7,2,,3,5,,,1,8,4,9,1,9,56,0.965
1,20,1,3,5,12,8,5,4,3,0,0,0,3,3,4,3,1,49,66,2.485
1,20,2,9,18,20,13,6,11,0,9,6,4,16,14,8,14,0,50,69.5,2.24
1,20,3,5,7,2,3,7,1,0,0,3,1,2,4,4,0,1,10,58.5,1.005
1,20,4,1,0,2,3,0,0,2,2,1,2,0,1,0,0,1,14,67,1.555
1,21,1,10,7,5,9,7,9,6,7,6,6,10,7,5,6,1,40,64.75,1.28
1,21,2,13,13,8,14,10,11,12,10,12,14,14,10,10,8,0,37,74.75,2.13
1,21,3,9,7,8,9,10,9,7,7,6,8,10,8,6,8,1,8,57.75,1.18
1,21,4,9,6,7,9,10,10,7,5,6,7,10,8,6,8,1,6,48.5,0.495
1,22,2,6,0,2,0,2,6,3,1,0,4,4,0,3,3,0,38,70,2.2
1,22,3,28,29,19,25,16,24,16,16,13,18,15,18,18,15,0,8,53.75,1.02
1,23,1,12,11,14,8,7,7,6,10,13,8,8,5,5,6,1,34,60.75,1.38
1,23,2,16,20,19,19,22,22,15,22,28,17,25,24,26,20,0,36,70,1.71
1,23,3,14,11,10,11,13,12,16,14,13,8,13,12,12,11,1,8,49.5,0.68
1,24,1,4,10,15,13,7,13,14,12,14,12,12,11,14,18,1,38,64,1.64
1,24,2,10,12,12,14,11,10,12,12,14,11,14,14,12,15,0,46,70.5,1.955
1,24,3,12,14,13,13,13,14,13,13,14,14,14,12,12,14,0,9,56,1.18
1,25,1,8,14,14,10,14,14,12,14,14,14,14,14,14,12,1,46,67,3.225
1,25,2,9,11,3,5,7,7,7,9,12,10,11,11,12,12,0,47,68.5,2.48
1,25,3,7,15,12,12,13,12,6,14,14,12,11,9,12,11,1,11,62.5,2.08
1,26,1,7,12,10,12,12,11,8,10,9,13,14,10,4,9,1,25,62.25,1.23
1,26,3,8,12,10,9,9,9,9,11,9,9,7,7,5,5,1,8,49,0.72
1,27,1,9,15,12,13,12,14,12,17,14,15,16,15,11,12,1,46,59,1.485
1,27,2,23,22,16,23,27,19,22,24,19,25,19,25,3,14,0,54,71.5,2.36
1,27,3,4,4,9,13,8,8,7,10,8,8,7,8,7,6,1,10,55.5,0.96
1,30,1,6,4,7,5,6,5,5,5,6,7,5,4,5,5,1,41,66,1.54
1,30,2,7,7,6,12,7,7,12,12,11,12,12,8,14,13,0,44,69.5,1.89
1,30,3,5,4,14,10,9,8,4,4,11,13,4,2,10,12,1,12,63.25,1.57
1,30,4,6,4,3,2,3,2,2,7,7,7,6,5,6,6,0,10,57.75,0.77
1,31,1,7,11,8,8,9,7,8,8,6,8,6,7,5,6,1,39,67.25,1.52
1,31,3,7,10,8,8,9,7,8,8,7,7,7,7,6,5,0,9,55,0.84
1,31,4,6,8,7,7,7,4,7,7,8,6,7,5,7,8,1,12,58.75,0.81
1,32,1,11,11,12,11,4,9,12,11,7,9,10,7,7,13,1,41,62,1.39
1,32,2,4,6,13,7,7,7,4,5,3,1,8,3,3,4,0,41,72,1.86
1,32,3,9,17,16,7,17,8,10,9,8,8,7,8,11,9,0,12,59.25,1.34
1,32,4,5,9,10,13,9,6,3,4,2,3,7,9,9,8,1,10,56.25,0.66
1,32,5,13,15,17,15,7,14,13,11,15,11,8,13,22,20,0,15,62.25,0.9
1,34,1,4,9,5,8,11,4,,12,10,9,7,8,8,14,1,45,66.25,1.37
1,34,2,5,5,5,7,9,7,,,,,,,,,0,46,72,1.81
1,34,3,7,14,9,12,12,8,,14,11,12,10,11,8,11,1,11,62,1.33
1,34,4,11,13,10,13,11,11,,12,14,11,12,12,9,11,0,16,74,1.63
1,34,5,2,11,8,10,13,6,,10,7,7,7,8,6,8,0,9,52.5,0.65
1,37,1,6,6,12,10,12,12,12,11,11,,11,13,8,11,1,42,60.5,1.285
1,37,2,13,14,14,14,14,14,14,14,14,,7,4,5,12,0,36,74,2.115
1,37,3,4,,11,10,14,14,10,14,14,,14,14,7,8,1,10,58.25,1.01
1,37,4,14,14,14,0,9,,11,14,14,,16,16,15,12,0,8,54.5,0.88
1,37,6,6,6,10,14,,12,8,11,10,,11,13,12,11,1,14,63.25,1.13
1,40,1,10,12,12,10,8,9,10,11,10,10,12,14,,,1,33,65,1.42
1,40,3,12,10,10,12,12,12,13,13,14,10,12,10,,,0,9,58.25,1.43
1,41,1,1,3,2,2,4,4,9,3,0,2,2,3,3,3,1,42,60.75,1.24
1,41,3,3,3,2,2,4,3,4,2,0,2,2,2,3,3,1,9,53.25,0.8325
1,42,1,2,0,3,5,1,1,0,1,1,3,2,3,2,3,1,44,67.5,1.865
1,42,2,2,2,3,7,2,4,5,4,3,8,4,3,8,6,0,42,68.25,2.17
1,42,3,4,16,13,6,10,8,13,4,5,9,10,9,10,8,1,11,58,1.09
1,42,4,20,24,11,2,2,3,5,0,0,3,0,0,0,0,0,9,55,1.03
1,43,1,3,10,10,10,6,6,9,12,12,12,12,12,11,8,1,43,66,1.865
1,43,2,0,2,10,3,2,6,5,3,5,2,9,4,6,3,0,42,69.5,1.83
1,43,3,10,11,13,13,3,12,12,7,8,10,11,6,9,6,0,11,58.75,1.115
1,43,4,4,9,9,6,1,4,3,3,3,1,0,0,3,5,0,9,53,0.63
1,45,1,0,6,4,2,0,1,0,3,1,4,0,5,1,0,1,35,63.25,1.19
1,45,3,4,3,1,1,0,0,0,6,0,0,1,1,2,0,0,11,61,1.155
1,45,4,6,0,1,3,0,4,4,6,0,1,1,2,4,2,0,8,49.5,0.7
1,45,5,6,6,4,2,4,6,1,2,0,0,0,0,2,0,0,9,53.5,0.76
1,45,6,5,7,6,8,2,7,6,5,4,5,9,9,8,11,0,12,55.5,0.77
1,45,7,10,11,4,6,7,8,5,2,4,3,2,2,8,2,0,17,67,2.21
1,46,2,0,7,7,2,,,,,,,,,,,0,39,64.5,1.94
1,46,3,0,14,14,4,,,,,,,,,,,1,12,58,1.42
1,47,1,3,3,11,10,4,10,0,0,0,0,6,8,4,6,1,39,64.5,1.615
1,47,2,0,4,8,10,13,11,11,12,12,11,8,14,14,14,0,41,67,1.91
1,47,3,10,4,14,9,13,9,4,4,4,4,9,9,7,7,0,12,55.5,1.18
1,47,4,4,2,11,10,11,10,,,,,,,,,1,10,52,0.67
1,48,1,3,7,5,8,8,9,7,10,8,9,9,4,,,1,35,62,2.05
1,48,2,10,13,26,20,22,26,23,23,27,21,23,18,16,,0,37,72,2.03
1,48,3,6,11,20,20,11,18,28,20,22,15,25,16,20,,0,11,62,1.27
1,48,4,4,8,8,10,11,10,15,12,12,12,9,15,8,,0,13,64.5,1.18
1,48,5,9,9,13,10,4,9,11,12,10,6,9,12,14,,1,8,53,0.6375
1,49,1,4,8,7,7,8,3,7,4,6,6,,,,,1,43,65,2.27
1,49,2,3,7,5,6,3,0,0,0,0,0,,,,,0,45,66,2.65
1,49,3,0,5,4,2,0,4,1,0,2,0,,,,,0,9,51,0.795
1,50,1,4,2,13,9,0,4,7,9,3,6,3,0,5,6,1,39,63,1.26
1,50,2,8,4,10,10,0,6,12,12,11,8,9,9,11,11,0,49,71,1.79
1,50,3,3,1,7,2,0,2,10,7,7,4,3,4,4,4,0,10,57,0.93
1,50,4,4,8,14,14,14,14,10,11,10,12,14,12,14,12,0,13,67,1.53
1,51,1,5,9,,,,,,,,,,,,,1,44,64.5,2.09
1,51,3,5,2,,,,,,,,,,,,,1,9,58.5,1.325
1,51,4,5,5,,,,,,,,,,,,,1,17,65.75,1.325
1,51,5,1,6,,,,,,,,,,,,,0,14,68.5,2.02
