year,temp
1880,-0.13
1881,-0.07
1882,-0.11
1883,-0.11
1884,-0.31
1885,-0.26
1886,-0.21
1887,-0.24
1888,-0.12
1889,-0.13
1890,-0.29
1891,-0.19
1892,-0.39
1893,-0.21
1894,-0.29
1895,-0.21
1896,-0.04
1897,-0.02
1898,-0.24
1899,-0.17
1900,-0.09
1901,-0.13
1902,-0.27
1903,-0.4
1904,-0.49
1905,-0.23
1906,-0.22
1907,-0.34
1908,-0.37
1909,-0.47
1910,-0.32
1911,-0.47
1912,-0.36
1913,-0.31
1914,-0.22
1915,-0.07
1916,-0.33
1917,-0.2
1918,-0.3
1919,-0.25
1920,-0.24
1921,-0.13
1922,-0.25
1923,-0.3
1924,-0.24
1925,-0.21
1926,-0.19
1927,-0.13
1928,-0.16
1929,-0.33
1930,-0.1
1931,-0.02
1932,-0.15
1933,-0.2
1934,-0.07
1935,-0.16
1936,-0.05
1937,0
1938,-0.07
1939,-0.01
1940,0.16
1941,0.28
1942,0.03
1943,0.1
1944,0.31
1945,0.13
1946,-0.07
1947,-0.03
1948,-0.06
1949,-0.09
1950,-0.09
1951,0.11
1952,0.07
1953,0.11
1954,-0.13
1955,-0.11
1956,-0.12
1957,0.1
1958,0.09
1959,0.08
1960,0.06
1961,0.07
1962,0.12
1963,0.13
1964,-0.08
1965,-0.07
1966,0.1
1967,0
1968,-0.01
1969,0.1
1970,0.02
1971,-0.03
1972,0.08
1973,0.16
1974,0.03
1975,0.03
1976,-0.07
1977,0.19
1978,0.07
1979,0.2
1980,0.23
1981,0.25
1982,0.16
1983,0.3
1984,0.15
1985,0.1
1986,0.18
1987,0.44
1988,0.37
1989,0.32
1990,0.39
1991,0.42
1992,0.12
1993,0.27
1994,0.31
1995,0.42
1996,0.33
1997,0.5
1998,0.74
1999,0.41
2000,0.4
2001,0.6
2002,0.63
2003,0.6
2004,0.47
2005,0.67
2006,0.63
2007,0.57
2008,0.59
2009,0.67
2010,0.74
2011,0.65
2012,0.7
2013,0.66
2014,0.72
2015,0.85
2016,0.92
2017,0.9
2018,0.83
2019,0.95
